Event,Category,State,Fatalities,Insured Cost,Start Date,End Date,URL
Bushfire - Black Thursday Victoria,Bushfire,Melbourne,12.0,,06/02/1851,07/02/1851,https://knowledge.aidr.org.au/resources/bushfire-black-thursday-victoria-1851/
Bushfire - Red Tuesday,Bushfire,Melbourne,12.0,,01/02/1898,02/02/1898,https://knowledge.aidr.org.au/resources/bushfire-red-tuesday-victoria-1898/
Black Summer - New South Wales,Bushfire,New South Wales,26.0,1880000000.0,2019-07-01 00:00:00,2020-03-31 00:00:00,https://knowledge.aidr.org.au/resources/black-summer-bushfires-nsw-2019-20/
Black Summer - Queensland,Bushfire,Queensland,,70000000.0,2019-09-01 00:00:00,2019-12-31 00:00:00,https://knowledge.aidr.org.au/resources/black-summer-bushfires-qld-2019/
Black Summer - Victoria,Bushfire,Victoria,5.0,18600000.0,2019-11-01 00:00:00,2020-02-29 00:00:00,https://knowledge.aidr.org.au/resources/black-summer-bushfires-vic-2019-20/
Black Summer - South Australia,Bushfire,South Australia,4.0,186000000.0,2019-11-01 00:00:00,2020-02-29 00:00:00,https://knowledge.aidr.org.au/resources/black-summer-bushfires-sa-2019-20/
"Eastern Victorian bushfires, 2019",Bushfire,East Victoria,,36000000.0,2019-03-01 00:00:00,2019-03-21 00:00:00,https://knowledge.aidr.org.au/resources/2019-bushfire-vic-eastern-victorian-bushfires/
"Tathra bushfire, 2018",Bushfire,Tathra,,63516711.0,2018-03-18 00:00:00,2018-03-21 00:00:00,https://knowledge.aidr.org.au/resources/2018-bushfire-nsw-tathra-bushfire/
"South-west complex fires, 2018",Bushfire,South-west Victoria,,18972524.0,2018-03-17 00:00:00,2018-05-02 00:00:00,https://knowledge.aidr.org.au/resources/2018-bushfire-vic-south-west-complex-fires/
Waroona-Yarloop Fire,Bushfire,"Waroona, Yarloop",2.0,71000000.0,2016-01-05 00:00:00,2016-01-08 00:00:00,https://knowledge.aidr.org.au/resources/bushfire-waroona-yarloop-fire-2016/
Wye River - Jamieson track / Great Ocean Road Bushfire,Bushfire,Wye River,,120000000.0,2015-12-19 00:00:00,2016-01-21 00:00:00,https://knowledge.aidr.org.au/resources/bushfire-wye-river-jamieson-track-great-ocean-road-victoria-2015-2016/
"Pinery fire, 2015",Bushfire,Pinery,2.0,61000000.0,2015-11-25 00:00:00,2015-11-30 00:00:00,https://knowledge.aidr.org.au/resources/bushfire-pinery-fire-november-2015/
"Sampson Flat bushfire, 2015",Bushfire,Sampson Flat,,24900000.0,2015-01-02 00:00:00,2015-01-08 00:00:00,https://knowledge.aidr.org.au/resources/bushfire-adelaide-hills-2015/
