Event,Zone,Region,latitude,longitude
Bushfire - Black Thursday Victoria,Melbourne,Melbourne,-37.712608,144.495866
Bushfire - Red Tuesday,Melbourne,Melbourne,-37.813825,144.959165
Black Summer - New South Wales,New South Wales,New South Wales,-31.061251,147.255548
Black Summer - Queensland,Queensland,Queensland,-20.83322,142.894144
Black Summer - Victoria,Victoria,Victoria,-37.508367,144.769126
Black Summer - South Australia,South Australia,South Australia,-29.989555,136.206564
"Eastern Victorian bushfires, 2019",East Victoria,East Victoria,-37.384909,147.790291
"Tathra bushfire, 2018",Tathra,Tathra,-36.704251,150.02377
"South-west complex fires, 2018",South-west Victoria,South-west Victoria,-38.002183,141.902427
Waroona-Yarloop Fire,"Waroona, Yarloop","Waroona, Yarloop",-32.988123,115.748313
Wye River - Jamieson track / Great Ocean Road Bushfire,Wye River,Wye River,-38.773555,143.992362
"Pinery fire, 2015",Pinery,Pinery,-33.937512,138.702791
"Sampson Flat bushfire, 2015",Sampson Flat,Sampson Flat,-34.953285,138.81853
"Bushfire – Perth Hills, Western Australia 2014",Perth,Perth,-31.945177,115.878321
Bushfire - Victoria,"Stawell, Yea, Moondarra, Grampians, Kinglake and Anakie","Stawell, Yea, Moondarra, Grampians, Kinglake and Anakie",-37.388994,144.505201
"Bushfire - Coonabarabran, 2013",Coonabarabran,Coonabarabran,-31.276825,149.287333
"Bushfire - Hazelwood open cut mine fire, Morwell",Morwell,Morwell,-37.742667,146.795004
"Dunalley and Tasmanian bushfires, 2013","Dunalley, Forcett, Lake Repulse ","Dunalley, Forcett, Lake Repulse ",-42.652966,147.158253
Bushfire - Augusta - Margaret River,Bunbury,Bunbury,-32.961902,116.137525
Bushfire - Perth Hill Bushfires,Perth,Perth,-31.680834,115.403598
"Bushfire - Black Saturday, Victoria","Cooma (VIC) , Mount Gambier (VIC) , Warrnambool (VIC) , Wilsons Promontory , Melbourne","Cooma (VIC) , Mount Gambier (VIC) , Warrnambool (VIC) , Wilsons Promontory , Melbourne",-37.637994,144.519516
Bushfire - Boorabbin National Park,Kalgoorlie,Kalgoorlie,-30.808283,121.365573
Bushfire - Great Divide Complex,"Cooma (VIC) , Melbourne","Cooma (VIC) , Melbourne",-36.655341,146.792803
Bushfire - Victoria,"Mount Gambier (VIC) , Wilsons Promontory , Melbourne","Mount Gambier (VIC) , Wilsons Promontory , Melbourne",-38.224861,144.021901
Bushfire - Eyre Peninsula,Adelaide,Adelaide,-34.986605,138.384486
Bushfire - Canberra,Canberra (ACT),Canberra (ACT),-35.264974,149.141399
"Bushfire - North-Eastern Victoria, Alpine Region",Cooma (VIC),Cooma (VIC),-35.810362,149.298975
Bushfire - Sydney,Sydney,Sydney,-33.872063,151.174189
Bushfire - Black Christmas,"Dubbo , Sydney , Wollongong , Canberra (ACT)","Dubbo , Sydney , Wollongong , Canberra (ACT)",-34.278068,149.969835
"Bushfire – Mt Ku-ring-gai, New South Wales 2000",Mt Ku-Ring-gai,Mt Ku-Ring-gai,-33.713659,151.289335
Bushfire - Linton (near Ballarat),Melbourne,Melbourne,-37.624644,145.00919
"Bushfire - Sydney, Hunter, Pilliga",Sydney,Sydney,-33.858419,151.178905
